EID,GPU Duration (¦Ìs),Input Vertices Read,Input Primitives,GS Primitives,Rasterizer Invocations,Rasterized Primitives,Samples Passed,VS Invocations,TCS Invocations,TES Invocations,GS Invocations,PS Invocations,CS Invocations
299,5.12,78,26,0,26,26,117,52,0,0,0,82,0
300,7.168,7800,2600,0,2600,2600,29731,5200,0,0,0,16500,0
301,7.168,14382,4794,0,4794,4794,24,9588,0,0,0,19,0
302,6.144,4308,1436,0,1436,1436,18224,2872,0,0,0,10017,0
303,3.072,6144,2048,0,2048,2048,0,4096,0,0,0,0,0
304,4.096,6144,2048,0,2048,2048,0,4096,0,0,0,0,0
305,5.12,4134,1378,0,1378,1378,2278,2756,0,0,0,1356,0
306,4.096,6144,2048,0,2048,2048,0,4096,0,0,0,0,0
307,7.168,10842,3614,0,3614,3614,1373,7228,0,0,0,1288,0
308,6.144,9102,3034,0,3034,3034,729,6068,0,0,0,509,0
309,6.144,5046,1682,0,1682,1682,399,3364,0,0,0,298,0
310,5.12,1008,336,0,336,336,16898,672,0,0,0,6851,0
311,5.12,12288,4096,0,4096,4096,0,8192,0,0,0,0,0
312,6.144,4926,1642,0,1642,1642,1335,3284,0,0,0,1133,0
313,6.144,4608,1536,0,1536,1536,528,3072,0,0,0,412,0
314,6.144,5370,1790,0,1790,1790,5488,3580,0,0,0,3319,0
315,5.12,84,28,0,28,28,274,56,0,0,0,150,0
316,10.24,6636,2212,0,2212,2212,137038,4424,0,0,0,50891,0
317,9.216,4200,1400,0,1400,1400,92834,2800,0,0,0,33898,0
318,4.096,6144,2048,0,2048,1380,0,4096,0,0,0,0,0
319,6.144,4812,1604,0,1604,1604,7710,3208,0,0,0,4544,0
320,7.168,7662,2554,0,2554,2554,5899,5108,0,0,0,3846,0
321,7.168,4446,1482,0,1482,1482,10310,2964,0,0,0,6554,0
322,6.144,6144,2048,0,2048,2048,1675,4096,0,0,0,1057,0
323,4.096,3072,1024,0,1024,1024,0,2048,0,0,0,0,0
324,4.096,6144,2048,0,2048,2048,0,4096,0,0,0,0,0
325,6.144,1764,588,0,588,588,3257,1176,0,0,0,2354,0
326,6.144,4740,1580,0,1580,1580,965,3160,0,0,0,786,0
327,4.096,6144,2048,0,2048,2048,0,4096,0,0,0,0,0
328,4.096,6144,2048,0,2048,2048,0,4096,0,0,0,0,0
329,8.192,10038,3346,0,3346,3346,4912,6692,0,0,0,3422,0
330,10.24,9354,3118,0,3118,2637,120038,6236,0,0,0,44361,0
331,4.096,9396,3132,0,3132,740,0,6264,0,0,0,0,0
332,4.096,6144,2048,0,2048,1986,0,4096,0,0,0,0,0
333,7.168,1674,558,0,558,558,20989,1116,0,0,0,8824,0
334,6.144,9228,3076,0,3076,3076,8737,6152,0,0,0,5597,0
335,8.192,10152,3384,0,3384,3384,8135,6768,0,0,0,4749,0
336,7.168,9918,3306,0,3306,3306,3213,6612,0,0,0,3147,0
337,7.168,7170,2390,0,2390,2390,579,4780,0,0,0,456,0
338,3.072,1536,512,0,512,511,0,1024,0,0,0,0,0
339,6.144,4122,1374,0,1374,1374,3571,2748,0,0,0,1668,0
340,6.144,228,76,0,76,76,98,152,0,0,0,90,0
341,7.168,3834,1278,0,1278,1278,7571,2556,0,0,0,5458,0
342,3.072,1536,512,0,512,512,0,1024,0,0,0,0,0
343,9.216,18432,6144,0,6144,6144,1183,12288,0,0,0,1183,0
344,5.12,12288,4096,0,4096,0,0,8192,0,0,0,0,0
345,6.144,18432,6144,0,6144,6144,0,12288,0,0,0,0,0
346,5.12,24,8,0,8,8,144,16,0,0,0,64,0
347,9.216,4266,1422,0,1422,1139,105237,2844,0,0,0,35465,0
348,8.192,17400,5800,0,5800,3427,5818,11600,0,0,0,3941,0
349,8.192,19728,6576,0,6576,6576,4501,13152,0,0,0,2626,0
350,10.24,15366,5122,0,5122,5122,46695,10244,0,0,0,24391,0
351,4.096,1536,512,0,512,512,0,1024,0,0,0,0,0
352,10.24,12804,4268,0,4268,4268,33046,8536,0,0,0,17964,0
353,8.192,18732,6244,0,6244,1433,4422,12488,0,0,0,2570,0
354,17.408,8874,2958,0,2958,1789,529910,5916,0,0,0,153272,0
355,17.408,12660,4220,0,4220,4220,251199,8440,0,0,0,95109,0
356,7.168,11610,3870,0,3870,2838,0,7740,0,0,0,0,0
357,4.096,6144,2048,0,2048,2048,0,4096,0,0,0,0,0
358,6.144,12288,4096,0,4096,4096,0,8192,0,0,0,0,0
359,7.168,642,214,0,214,214,489,428,0,0,0,437,0
360,8.192,8736,2912,0,2912,2912,24184,5824,0,0,0,14729,0
361,7.168,3546,1182,0,1182,1182,6857,2364,0,0,0,3733,0
362,12.288,5514,1838,0,1838,1838,152538,3676,0,0,0,52891,0
363,6.144,900,300,0,300,300,3013,600,0,0,0,1806,0
364,8.192,9696,3232,0,3232,3232,25159,6464,0,0,0,13697,0
365,5.12,6144,2048,0,2048,1908,0,4096,0,0,0,0,0
366,10.24,10968,3656,0,3656,3656,22239,7312,0,0,0,11067,0
367,6.144,714,238,0,238,238,66,476,0,0,0,48,0
368,7.168,18432,6144,0,6144,6144,0,12288,0,0,0,0,0
369,7.168,12408,4136,0,4136,4136,0,8272,0,0,0,0,0
370,11.264,11022,3674,0,3674,3674,55110,7348,0,0,0,25497,0
371,5.12,6144,2048,0,2048,2048,0,4096,0,0,0,0,0
372,9.216,18948,6316,0,6316,6316,16720,12632,0,0,0,7651,0
373,4.096,6144,2048,0,2048,52,0,4096,0,0,0,0,0
374,7.168,5268,1756,0,1756,1756,8518,3512,0,0,0,4645,0
375,5.12,6144,2048,0,2048,2048,0,4096,0,0,0,0,0
376,7.168,12288,4096,0,4096,4096,0,8192,0,0,0,0,0
377,9.216,13008,4336,0,4336,4336,23152,8672,0,0,0,10817,0
378,9.216,6078,2026,0,2026,2026,39035,4052,0,0,0,14557,0
379,8.192,9096,3032,0,3032,3032,12603,6064,0,0,0,7060,0
380,13.312,6468,2156,0,2156,2156,179563,4312,0,0,0,60263,0
381,5.12,6144,2048,0,2048,2048,0,4096,0,0,0,0,0
382,9.216,9060,3020,0,3020,3020,9849,6040,0,0,0,6788,0
383,9.216,14028,4676,0,4676,4676,25745,9352,0,0,0,13231,0
384,6.144,12288,4096,0,4096,4096,0,8192,0,0,0,0,0
385,10.24,11502,3834,0,3834,3834,21003,7668,0,0,0,10781,0
386,7.168,2016,672,0,672,672,3610,1344,0,0,0,2137,0
387,8.192,7884,2628,0,2628,2628,2777,5256,0,0,0,1369,0
388,6.144,6144,2048,0,2048,2048,0,4096,0,0,0,0,0
389,5.12,6144,2048,0,2048,2048,0,4096,0,0,0,0,0
390,6.144,6144,2048,0,2048,2048,0,4096,0,0,0,0,0
391,7.168,3990,1330,0,1330,1330,0,2660,0,0,0,0,0
392,6.144,3228,1076,0,1076,976,0,2152,0,0,0,0,0
393,7.168,2040,680,0,680,680,3400,1360,0,0,0,1562,0
394,7.168,10176,3392,0,3392,3392,0,6784,0,0,0,0,0
395,8.192,18432,6144,0,6144,6144,0,12288,0,0,0,0,0
396,5.12,1536,512,0,512,146,0,1024,0,0,0,0,0
397,6.144,6144,2048,0,2048,1819,0,4096,0,0,0,0,0
398,5.12,3072,1024,0,1024,1024,0,2048,0,0,0,0,0
399,6.144,6144,2048,0,2048,2048,0,4096,0,0,0,0,0
400,10.24,5508,1836,0,1836,1836,2920,3672,0,0,0,2187,0
401,10.24,11742,3914,0,3914,3859,36743,7828,0,0,0,18544,0
402,8.192,1428,476,0,476,476,3003,952,0,0,0,1347,0
403,12.288,11598,3866,0,3866,3866,11249,7732,0,0,0,5838,0
404,6.144,6144,2048,0,2048,2048,0,4096,0,0,0,0,0
405,7.168,18432,6144,0,6144,6144,0,12288,0,0,0,0,0
406,6.144,6144,2048,0,2048,2048,0,4096,0,0,0,0,0
407,5.12,1536,512,0,512,512,0,1024,0,0,0,0,0
408,5.12,408,136,0,136,136,0,272,0,0,0,0,0
409,5.12,5652,1884,0,1884,0,0,3768,0,0,0,0,0
410,9.216,5358,1786,0,1786,670,20443,3572,0,0,0,7045,0
411,5.12,258,86,0,86,78,0,172,0,0,0,0,0
412,6.144,6144,2048,0,2048,128,0,4096,0,0,0,0,0
413,8.192,3570,1190,0,1190,1190,4330,2380,0,0,0,3048,0
414,8.192,2304,768,0,768,300,770,1536,0,0,0,418,0
415,9.216,12372,4124,0,4124,2426,933,8248,0,0,0,451,0
416,6.144,3072,1024,0,1024,560,0,2048,0,0,0,0,0
417,8.192,18432,6144,0,6144,1119,0,12288,0,0,0,0,0
418,6.144,6144,2048,0,2048,1290,0,4096,0,0,0,0,0
419,6.144,2376,792,0,792,24,0,1584,0,0,0,0,0
420,8.192,9618,3206,0,3206,965,1385,6412,0,0,0,888,0
421,8.192,18432,6144,0,6144,3463,0,12288,0,0,0,0,0
422,9.216,4380,1460,0,1460,1460,29015,2920,0,0,0,12334,0
423,9.216,6882,2294,0,2294,2294,5109,4588,0,0,0,3700,0
424,7.168,4728,1576,0,1576,1576,410,3152,0,0,0,291,0
425,8.192,6594,2198,0,2198,2198,1570,4396,0,0,0,1197,0
426,11.264,11370,3790,0,3790,3790,7014,7580,0,0,0,4855,0
427,9.216,7230,2410,0,2410,2410,16296,4820,0,0,0,10334,0
428,7.168,222,74,0,74,74,914,148,0,0,0,507,0
429,7.168,846,282,0,282,282,1828,564,0,0,0,957,0
430,6.144,6144,2048,0,2048,2048,0,4096,0,0,0,0,0
431,7.168,6144,2048,0,2048,2048,0,4096,0,0,0,0,0
432,9.216,12516,4172,0,4172,4172,5701,8344,0,0,0,4608,0
